# UK-IOT-IXI-2023::S2_employment - scenario S2_employment. NOT ALL OF THESE NUMBERS ARE OBSERVED.
# 627 of 11,236 cells (5.6 %) are ESTIMATED from an allocation proxy and 0 (0.0 %) were moved by the balancing solver.
# Cell-by-cell status is in provenance.csv in this folder; the caveats are in ../../report.md. Quoting a figure from this file without them states an estimate as a measurement.
code,label,A01,A02,A03,B05,B06 & B07,B08,B09,C101,C102_3,C104,C105,C106,C107,C108,C109,C1101T1106 & C12,C1107,C13,C14,C15,C16,C17,C18,C19,C203,C204,C205,C20A,C20B,C20C,C21,C22,C235_6,C23OTHER,C241T243,C244_5,C25,C26,C27,C28,C29,C301,C303,C30OTHER,C31,C32,C3315,C3316,C33OTHER,D351,D352_3,E36,E37,E38,E39,"F41, F42  & F43",G45,G46,G47,H491_2,H493T495,H50,H51,H52,H53,I55,I561,I562,I563,J58,J59 & J60,J61,J62,J63,K64,K65.1-2 & K65.3,K66,L683,L68A,L68BXL683,M691,M692,M70,M71,M72,M73,M74,M75,N77,N78,N79,N80,N81,N82,O84,P85,Q86,Q87 & Q88,R90,R91,R92,R93,S94,S95,S96,T97,P3 S13,P3 S14,P3 S15,P51G,P52,P53,P61EU,P61RW,P62,Output
C301,Building of ships and boats,1.224094,0.046850,19.802444,0.006387,174.756356,0.401300,9.664287,0.714708,0.474309,0.049601,0.474717,0.217188,0.697791,0.973513,0.455642,0.750881,0.482009,0.172648,1.151416,0.111159,0.459989,0.971338,0.337388,0.194816,0.167096,0.512574,0.226424,0.188134,0.181071,0.058254,1.206094,1.091057,0.674917,0.396665,0.794645,0.097430,3.190446,7.500103,1.116412,4.367828,17.918071,1025.776294,1.416421,0.108291,1.585417,1.307487,90.453496,0.069445,2.439858,2.980665,0.688671,0.226555,0.067725,1.553287,0.076073,22.282631,2.040273,11.311380,10.270058,0.859453,4.939843,432.158208,0.681853,2.633767,0.745926,0.870585,1.508549,0.351913,0.666911,0.968748,2.242073,2.125877,13.790519,0.818420,4.722153,3.240264,11.249121,0.609427,1.371684,32.243131,1.892721,1.093994,2.228493,4.140436,17.401171,2.442569,5.256217,0.145345,1.432328,0.922636,0.596962,0.097924,1.367143,2.669672,346.386696,4.974614,7.385804,2.457061,2.177479,0.135297,0.354424,1.024448,0.627930,0.127502,0.996469,0.000000,0.002042,200.867908,3.618774,1040.741511,-17.585031,0.088604,816.682385,1583.485986,107.031983,6091.000000
C303,Manufacture of air and spacecraft and related machinery,11.549997,1.077349,0.194610,0.093950,18.003772,5.105638,4.548231,6.667337,4.036742,0.494784,3.270886,1.756984,5.272530,8.831288,3.189405,7.240397,7.960502,3.136961,0.601246,0.554544,7.276181,10.220382,6.321951,3.423062,1.500824,2.945062,1.525106,1.506311,2.736382,0.587221,12.337158,10.207923,7.815539,3.413749,8.707844,18.399491,40.818822,14.955100,17.784774,74.531981,54.866584,5.632692,576.260453,1.962571,5.222708,11.665214,1.043018,16.572474,12.819640,49.961945,4.917544,4.013488,0.387936,13.296566,0.572926,260.480610,19.511509,64.720279,60.523441,5.160341,39.260320,2.343672,94.553966,16.062157,4.291708,4.224584,7.018576,1.637286,3.102829,3.946306,14.447034,15.636492,62.978374,4.295095,34.819814,20.672934,15.629928,2.790985,25.229528,45.095273,8.352182,5.113409,12.029434,109.363431,196.331909,13.078613,31.702377,0.721922,15.463725,4.879015,3.706904,1.805433,10.712564,20.225778,3445.029120,26.191394,72.257984,14.429438,9.961204,4.720004,1.699661,7.477765,3.845306,1.493367,3.581577,0.000000,0.015955,282.940801,38.656973,1528.710801,278.351695,-478.955562,9134.577199,10432.426943,1437.870862,28607.000000
C30OTHER,Manufacture of other transport equipment - 30.2/4/9,6.210226,0.296976,0.509587,0.005628,9.375454,4.958354,1.794455,6.733751,3.312900,0.385287,3.698487,1.738617,4.066932,5.023236,2.438193,4.324029,3.031826,1.506358,0.481148,0.083310,2.374128,2.974455,2.663335,3.331219,1.058271,1.957212,1.541804,1.228631,1.181793,0.891871,5.449556,6.335691,5.409842,3.782489,3.930638,1.214313,12.276463,513.562204,6.662457,11.123195,27.858617,0.551241,5.856910,23.836488,2.155472,3.954122,0.151087,1.281988,290.517657,50.447633,18.369516,3.325943,0.177679,5.465676,0.364499,39.730236,7.198759,14.494545,27.450214,158.121448,6.243708,1.355095,0.777102,13.355140,1.808474,4.603668,9.735764,2.271149,4.304065,1.567211,2.760089,23.356150,8.118727,2.479411,3.476559,0.992890,1.782259,0.633094,1.035903,16.417718,1.917192,1.089941,2.543759,6.853666,14.303458,1.290365,2.760244,0.604622,16.204067,0.702599,0.699784,0.465094,4.273891,7.021567,12.754382,6.117305,162.595362,9.735934,0.694494,0.443347,2.972925,5.846954,3.681811,0.317976,3.021477,0.000000,0.000383,86.702175,1.557951,74.445136,-273.901227,0.354417,229.461925,405.572154,197.586644,2428.000000
C31,Manufacture Of Furniture  ,9.520455,0.755174,0.452740,0.024292,5.170057,1.644996,1.104603,6.433120,3.930924,0.349208,4.569012,1.873693,4.232934,6.409153,2.225073,3.896068,4.472477,1.978072,3.871382,0.415047,4.379120,9.852881,14.953140,1.455175,0.949637,2.792586,1.574526,1.175102,1.918222,0.514347,7.567532,6.076919,2.708873,2.469767,5.215195,0.835552,20.584427,9.085164,6.965436,21.669946,35.998627,20.002184,7.208487,0.558227,250.913252,11.561141,0.679770,0.298642,6.428770,15.383893,1.801910,0.773992,0.334547,7.679764,0.220927,442.068564,33.568210,28.672258,28.106421,2.682539,15.009099,2.516052,1.973725,7.013875,1.411679,4.065149,9.775278,2.280367,4.321534,25.172907,4.834017,5.674975,7.920452,0.736165,24.210944,8.905532,12.631264,0.574946,10.531727,21.413819,3.268438,0.913884,2.181674,6.369348,4.875958,3.262827,5.607574,0.856821,9.266032,1.473021,2.169242,0.725361,9.212585,4.293771,461.943132,184.820719,147.485252,76.078773,3.379396,2.615686,0.852496,25.806284,3.291845,1.759067,3.711767,0.000000,0.002042,2511.637150,0.953820,3580.986291,-261.344055,1.902956,783.293484,705.736074,142.623620,9684.000000
C32,Other Manufacturing  ,71.596454,3.322566,1.880880,0.848927,29.772974,11.712845,9.355273,25.675876,10.406108,1.017477,11.462661,5.666375,18.198831,22.413762,7.681268,11.400979,17.577996,6.139454,8.479612,4.292163,28.900079,34.712742,60.036963,6.611536,3.192473,7.859607,4.736348,4.874904,8.016495,2.640194,69.578039,19.910897,17.378182,15.935465,12.146352,2.987945,49.898343,85.901492,32.270371,53.643478,104.483563,9.272694,23.068399,2.129663,16.694499,544.210832,5.733843,1.422692,72.597185,178.926852,37.876371,6.863163,5.450423,56.434080,12.263869,567.259743,26.500400,48.091682,68.300933,17.111226,68.788208,49.425607,4.528400,48.719759,31.563051,19.487047,36.790920,8.582548,16.264828,13.544450,85.636646,49.734150,110.592624,4.437567,93.905139,20.218328,130.607881,7.014600,9.803735,46.759161,16.915101,2.250393,5.230653,42.623674,75.735655,38.917980,97.382828,40.655945,30.914748,1.384758,1.613859,4.598353,114.984749,16.159929,136.560651,179.529293,1104.002623,87.329799,27.168660,3.857171,30.828790,86.411898,10.766243,22.467832,9.770182,0.000000,71.311549,1859.571127,6.936368,427.629794,-493.474463,262.033653,2114.058307,2800.035137,821.605613,13519.000000
C3315,Repair and maintenance of ships and boats,0.126820,0.379907,29.994077,0.017932,136.011126,0.270942,14.450064,0.444897,0.049541,0.005904,0.058418,0.153005,0.504963,0.535747,0.040753,0.496573,1.715296,0.739343,0.046830,0.001203,0.271223,1.071538,0.390963,0.202710,0.039393,0.066698,0.038598,0.039893,0.017047,0.087335,0.556784,0.167543,0.620366,0.328196,0.447512,0.021638,1.572810,1.245157,0.883782,0.704961,3.151088,188.556016,0.225377,0.021979,0.072709,0.537905,51.306314,0.028957,2.824819,13.927854,0.918467,0.701190,0.006142,1.078798,0.006691,17.121900,0.192138,1.233632,2.238203,0.380502,0.098258,263.262256,0.021498,0.288333,0.042504,0.104084,0.198861,0.046390,0.087914,0.031384,0.286714,2.218059,0.896503,0.083141,0.346723,0.358462,12.591761,0.037817,0.048857,5.116196,0.108680,0.056613,0.139149,0.681815,4.083710,0.516606,0.071521,0.013803,2.994898,0.034951,0.025878,0.444428,2.162554,0.206965,59.104445,0.185493,0.422778,0.222789,0.290386,0.011209,0.119899,0.798280,0.059761,0.253761,0.060759,0.000000,0.000000,147.123814,0.790584,181.420644,-8.807529,0.000000,188.746739,333.166888,65.973851,1747.000000
C3316,Repair and maintenance of aircraft and spacecraft,1.040893,0.087478,0.045376,0.006362,1.811672,0.492918,0.467863,0.799199,0.492030,0.062074,0.484002,0.244236,0.507929,0.760581,0.380066,0.642280,0.454570,0.331162,0.072602,0.029304,0.364002,0.569729,0.553860,0.497892,0.167639,0.209186,0.184431,0.163195,0.245009,0.088927,1.283494,0.790034,0.815804,0.363371,0.462550,0.151154,1.682639,0.705725,0.745857,1.556156,2.458318,0.128459,529.006612,0.194898,0.228556,0.471835,0.060167,186.402993,1.352580,5.003308,1.179029,0.516862,0.045429,1.070935,0.082391,12.806103,1.293176,6.164210,6.208213,1.169684,3.134732,0.264332,1213.728873,1.930153,0.476694,0.656991,1.307013,0.304899,0.577815,0.867503,1.383018,1.994731,7.448812,0.528514,3.939856,1.443760,1.873530,0.344252,2.877183,2.461242,0.965191,0.615477,1.456257,13.392925,2.790038,1.089186,2.549481,0.101471,1.786488,0.578224,0.433320,0.110540,0.726461,1.816136,141.039913,3.140884,7.182803,1.804702,0.620701,0.274681,0.278673,1.069485,0.480656,0.081712,0.377938,0.000000,0.001213,187.686743,0.466001,37.641745,12.910389,0.000000,366.407461,404.535012,1506.387179,4725.000000
C33OTHER,Rest of repair; Installation - 33.11-14/17/19/20,91.487084,5.948600,11.645963,0.090992,273.150804,141.934380,47.459157,142.370290,66.622708,8.343256,70.091024,38.824696,84.108527,96.037525,57.175621,103.790591,47.872310,33.102320,8.428167,0.903981,53.023264,51.253397,59.337113,89.305929,23.610941,33.279498,33.228455,27.356871,18.951099,23.274370,90.218923,150.846298,150.127325,93.291459,77.824563,29.876847,228.323903,354.241493,133.578266,154.019856,601.675818,3.900421,118.481006,43.470602,42.163830,54.171942,4.251243,36.777247,798.241521,1442.630397,547.479970,98.038999,4.062562,111.124378,9.458342,303.589724,174.809766,337.081701,688.879509,495.565031,137.020164,34.921048,9.691062,365.942659,47.296379,111.438351,229.015865,53.424582,101.245187,19.693675,51.728834,657.189739,108.083394,68.722518,20.425144,4.057667,15.180244,13.665298,7.137360,39.595705,41.358748,23.085403,55.319713,124.935707,207.121646,26.660968,66.871103,12.050409,471.941474,13.439598,15.380456,8.624896,91.606494,184.884144,56.809876,109.967927,488.702190,253.895437,10.090788,10.767190,85.106618,159.299179,67.172703,2.597336,71.902907,0.000000,0.007020,340.326924,3.630377,180.284511,-166.633424,-4.310137,442.512991,596.106257,598.795825,15866.000000
D351,"Electric power generation, transmission and distribution",448.508687,6.650894,30.145958,1.886322,131.586077,379.515833,73.296606,460.764279,277.103872,42.602887,194.256582,208.445146,396.341488,554.119636,164.711659,327.691973,105.211170,102.230974,23.245469,10.289815,231.605330,605.537941,219.820108,284.948710,42.900960,101.122968,62.822328,530.254435,344.376751,118.386085,336.733152,770.443355,307.199395,507.924041,201.508341,223.958174,782.826331,236.892114,125.853672,400.947097,558.530456,67.485782,222.736696,21.243806,114.733563,161.333976,5.643663,37.541157,224.879108,81564.911707,21433.943979,964.084279,273.062975,207.714950,3.920092,1700.733180,706.067821,1904.255756,4747.953856,567.197927,315.808490,14.901834,34.347755,844.875800,127.073602,1262.655494,1146.330983,267.414895,506.779277,48.844924,255.880773,890.020051,695.960025,312.313579,544.959686,36.504591,579.923355,199.598224,2226.924836,641.782908,247.823111,93.825170,330.537587,345.905027,294.142160,51.090484,119.570396,45.175221,145.086734,170.248996,180.618026,9.184082,250.353268,477.019180,1254.081830,1385.861207,2025.890561,675.250219,202.105714,118.032250,118.602015,758.632769,260.413963,19.797257,220.816430,0.000000,0.012828,36813.062757,4.673438,694.418308,-45.755758,0.000000,715.171281,37.290969,916.520096,185751.000000
D352_3,Manufacture of gas; distribution of gaseous fuels through mains; steam and aircon supply,35.801333,1.558621,2.892101,0.146915,18.727183,68.127270,9.334864,89.952553,96.934705,36.589044,68.186551,75.221288,156.459158,294.674473,49.722791,177.649430,18.971536,23.374543,6.943692,3.875898,73.945804,285.926371,42.856770,38.617830,7.938446,27.388833,18.756850,214.081717,237.315499,73.759169,123.271909,225.781787,107.974630,225.626286,83.362152,69.277701,231.072538,51.944753,30.824881,104.108814,141.802968,11.568206,60.000998,5.245617,26.910385,22.385038,0.455160,13.688523,118.067457,24590.709054,16875.202955,90.316066,22.651671,39.396973,1.337319,692.006795,128.273496,302.874721,738.827565,48.933738,51.330516,1.198934,16.149321,130.418860,27.312702,234.651713,304.811942,71.106212,134.753730,7.456630,42.714850,83.673065,75.378279,37.991912,99.962157,6.732738,71.877541,37.437664,179.807749,201.912724,48.453588,14.421915,51.848492,82.332259,69.126367,9.629442,19.097496,9.197935,33.915442,45.404866,39.859541,1.273158,89.484726,66.506465,404.179295,480.233153,720.071840,246.515879,41.526142,30.841484,60.521748,244.133921,144.936052,2.589625,62.979888,0.000000,0.000128,13348.337524,1.382837,181.214298,-20.383849,0.000000,59.225971,3.689593,240.142145,66089.000000
E36,"Water Collection, Treatment And Supply  ",47.795099,0.058814,5.033133,1.012399,14.466827,11.863080,5.424634,50.183088,37.912540,6.103291,23.688973,22.345378,21.914338,48.510482,10.980451,47.153887,31.484786,9.299916,3.079140,2.072795,16.633196,39.077368,14.495841,44.082665,5.314877,15.271814,8.243105,22.555414,28.580110,13.145189,14.893580,26.894712,10.378370,19.145542,16.693914,5.295529,56.644973,17.298635,10.082750,23.251788,21.136344,10.515731,21.702339,2.266878,7.415756,33.920126,1.026781,6.120653,7.015871,173.572241,18.775232,1066.049480,281.555292,204.508970,2.134833,444.238016,136.494322,145.344318,355.602335,12.500723,50.529372,5.590190,7.407168,81.805494,13.449973,308.562664,215.823571,50.347097,95.413031,4.273539,21.212317,17.326026,55.225867,6.035771,19.204837,122.800565,7.740267,27.830882,14.905104,105.066695,35.797327,11.669204,24.399315,78.183903,21.398300,101.674783,16.234452,6.396584,41.394991,32.054124,8.127224,5.079145,46.599908,66.685995,455.797479,260.570848,246.543161,266.440630,43.679333,33.474854,14.881939,156.273340,31.642502,18.150570,67.567991,0.000000,0.004021,5725.396969,1.944953,322.356260,-25.749878,0.000000,112.449956,29.877948,315.192776,13563.000000
E37,Sewerage  ,8.371146,0.007480,2.012972,0.000896,4.337795,0.142666,0.138573,40.195895,17.117572,3.010866,18.075280,1.067806,8.159922,31.201416,0.091063,22.271562,4.079111,6.052085,0.015465,2.011722,2.120340,23.216383,1.134766,8.527698,0.038042,0.104788,6.072123,1.140677,38.107357,31.026994,29.643732,9.417990,1.132469,1.181655,0.267302,3.092158,51.014826,5.374861,0.209643,12.038556,7.240743,7.169657,18.739051,0.039283,5.095716,0.248808,1.008663,0.031095,0.263234,29.160544,2.741828,93.378546,490.161851,2106.438367,0.025911,310.940962,15.294905,121.861669,123.398627,0.565011,22.529559,0.198681,4.438308,16.409290,7.327199,72.826378,31.287990,7.298830,13.832048,1.317927,2.765556,2.838326,22.958443,4.835959,13.493289,7.676328,21.814202,5.621685,7.218779,20.144132,8.608536,1.808967,10.126057,26.501517,3.012755,1.558572,22.607206,0.123302,7.598839,1.510527,1.348847,0.019999,70.455132,19.057760,961.990344,62.965257,574.840676,57.060840,2.166181,6.093584,14.236967,35.504176,0.300102,1.023963,26.314797,0.000000,0.000000,5359.716215,0.495068,53.042134,-3.999365,0.000000,27.437485,7.728820,23.883705,11399.000000
E38,"Waste Collection, Treatment And Disposal Activities; Materials Recovery  ",209.688813,0.771822,19.456292,1.106951,28.041155,7.072431,7.132753,86.031232,42.648079,6.863463,36.148907,13.244455,40.179999,65.628689,19.253585,82.751212,30.888892,13.299758,1.106957,3.559035,32.956900,90.875712,20.403148,71.627132,17.278354,17.511853,16.650359,2.968655,47.849847,0.936352,53.771362,61.715690,24.181495,17.081280,199.288152,2.160951,52.841650,15.847533,26.082779,28.316407,265.435578,39.176530,69.005173,7.372647,23.748782,36.692374,2.269984,7.885953,39.913590,17.384446,12.701576,109.588385,109.312311,3413.835741,33.739940,771.593791,161.272643,352.668893,741.558503,12.508959,248.122802,3.630228,9.143780,141.613326,39.201865,157.120914,256.009033,59.721520,113.178545,19.999196,39.619695,22.201317,83.083889,7.598588,103.010963,20.118357,117.552048,34.387263,76.984664,141.566973,31.624891,27.235166,47.163842,91.061736,21.223066,34.309716,34.542763,21.374130,33.531194,32.844835,17.859235,5.852890,266.142806,60.738716,470.621695,197.163061,1171.391592,155.144571,35.552145,33.475106,93.057455,133.891809,22.098598,18.463922,49.063949,0.000000,8343.052473,1172.604087,10.964910,259.719825,118.445691,0.000000,2799.687502,5136.972331,655.373438,31039.000000
E39,Remediation Activities And Other Waste Management Services  ,0.000564,0.000043,0.000010,0.000003,0.000486,0.000000,0.000216,0.000292,0.000244,0.000000,0.000184,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001128,0.000003,0.000242,0.000023,0.013135,0.006293,0.000858,0.000005,0.000000,0.000806,0.000078,0.002042,0.000003,0.001853,0.021729,0.003397,0.000008,0.000909,0.001308,0.023721,0.006183,0.036424,0.025423,0.284078,0.007290,0.114798,0.002941,0.021143,0.013128,0.002486,0.000000,0.005061,0.022327,0.010083,0.001660,0.001090,452.115250,216.002820,0.397565,0.075096,0.267111,0.621190,0.000028,0.030707,0.004916,0.049560,0.140510,0.003140,0.079091,0.096697,0.022557,0.042748,0.022090,2.090358,0.114530,0.152680,0.000085,0.183197,0.038128,0.009981,0.026204,0.037064,11.652925,0.169638,0.018940,0.023862,0.093919,0.866890,0.126518,0.033231,0.005885,0.020022,0.048406,0.048852,0.000000,0.013813,0.063773,544.354751,42.213495,0.247426,0.070442,0.001480,0.003414,0.020952,4.041301,0.000013,0.005260,0.054543,0.000000,0.000000,8.188159,0.266636,6.064644,-0.004011,0.000000,0.232894,0.111707,1.683225,1294.000000
"F41, F42  & F43",Construction,240.185530,17.456193,4.622603,1.029426,202.825311,3.374229,88.414404,64.614566,32.500222,0.796269,22.658639,4.005397,8.414858,17.799803,12.846277,8.671631,3.546846,3.830683,2.605574,0.797586,13.837201,7.515152,7.445096,258.419310,3.782265,3.720101,2.162681,32.228181,14.930538,2.051318,17.979606,157.284141,166.805573,6.819399,5.326107,1.775869,501.133880,17.684209,9.047561,88.891584,266.415157,194.482550,12.139562,24.122653,6.819114,25.598133,5.266827,0.887805,296.355880,3902.120898,924.702849,211.280977,269.901318,360.049168,1.407514,124092.713063,203.295309,2647.134687,1748.457257,34.349668,107.729588,8.596138,30.720719,439.378853,38.964200,88.452860,88.361800,20.612949,39.063700,21.064738,89.114218,166.474081,185.466496,46.997963,1501.412514,736.077217,190.872591,301.282829,11092.934592,11177.294845,42.328686,17.190701,1525.744212,868.653592,136.619051,77.495398,448.257418,3.304336,76.326998,65.934469,78.399015,1.659112,441.611360,214.362606,6641.081438,771.655939,1279.425587,477.049304,54.685000,77.144912,8.433507,144.984889,23.884984,2.618022,72.696478,0.000000,0.008552,7655.460556,35.177930,208314.784842,4167.170014,0.000000,52.144600,60.984953,4688.512445,402184.000000
G45,Wholesale And Retail Trade And Repair Of Motor Vehicles And Motorcycles  ,803.258101,38.665287,0.073116,0.004212,51.922311,9.963220,19.711002,13.774512,4.126020,0.078378,10.698022,3.351506,11.931763,15.533004,0.357916,5.918850,29.270703,9.913805,0.124142,0.072758,3.587563,21.107763,8.246778,2.248388,2.116692,7.123707,2.143353,2.039722,0.650239,1.101917,12.245341,61.085113,16.239368,13.158546,10.031402,3.126034,55.509228,211.939931,40.011747,513.772932,6358.045996,4.031486,12.498445,113.134629,57.559323,24.803034,4.928612,0.161189,272.095191,135.980572,8.918873,43.197467,30.424874,289.148256,0.344711,717.636867,6679.064734,1612.469939,1124.697522,83.777437,2004.226720,12.906825,10.230183,321.787660,397.357790,28.781457,97.390567,22.719170,43.055210,5.960638,21.413989,91.708432,160.252948,33.029701,482.003250,224.780621,111.429718,4.292300,18.688965,50.551684,32.069183,76.534881,89.906155,50.204320,24.257550,15.181373,5.047836,0.770368,2974.044870,376.536733,4.983172,41.177178,41.719806,29.265896,493.541965,308.649134,367.916562,314.530184,4.279950,3.687614,3.555283,92.209341,5.418506,14.181962,94.884989,0.000000,0.000000,31362.978428,5.660119,7930.842373,1.833798,0.000000,151.476329,85.873432,812.059335,69547.000000
G46,"Wholesale Trade, Except Of Motor Vehicles And Motorcycles  ",2355.470265,160.222573,171.495600,1.645477,382.535673,325.984613,136.694379,1736.856899,1185.829559,106.479594,1034.398632,596.755051,828.339212,1386.023468,725.829152,964.495229,525.983773,603.210531,272.965222,63.447181,612.569393,1289.085336,681.214867,450.699005,287.586229,476.553760,469.768443,337.719207,716.553713,166.239290,2231.882671,1223.670164,478.884274,504.832150,1130.464361,301.674599,2746.915630,978.601715,1175.046019,3143.603230,4445.740740,336.735363,1305.789527,99.458885,550.919934,865.557453,55.980581,85.664955,635.389921,1700.173346,235.956116,84.258422,19.572613,764.885977,19.034624,13564.231891,519.010144,2323.339485,1617.698430,100.413829,706.393949,210.960945,463.795221,572.428096,146.671083,1046.193500,2639.393103,615.714867,1166.844259,1143.597257,787.877510,691.435289,813.352782,90.464952,536.446387,106.084665,354.763034,57.076317,321.442267,434.165214,134.785841,71.799945,243.239966,1083.953741,637.573343,257.312718,422.574346,211.109916,311.931132,254.532759,121.257749,96.571943,575.042150,398.211919,4064.729153,1645.889306,6435.597356,865.079711,117.743819,71.902063,98.526778,480.293122,245.846546,130.794275,470.198547,0.000000,1.534996,21881.980137,29.871955,9756.584870,3.671349,0.000000,22446.961560,26653.700992,8531.056929,183955.000000
G47,"Retail Trade, Except Of Motor Vehicles And Motorcycles  ",554.516962,30.621216,47.071391,0.982670,114.183166,83.071048,40.883412,660.604386,271.720992,45.944962,328.505320,241.469332,413.741281,690.451919,342.484830,243.466351,165.649635,379.944857,208.611469,19.992105,120.792711,278.383219,138.048635,35.523746,54.263402,158.580201,96.258136,81.257393,142.957113,30.925921,504.165297,271.602495,106.601649,133.361519,350.723568,122.320934,909.755297,382.095993,393.121975,1055.370959,2218.318397,106.482031,434.579548,37.539105,244.551696,495.220583,16.953470,19.037790,231.160700,472.845798,42.978688,25.532763,9.050395,273.666051,9.621464,3680.757883,891.374484,913.557419,793.024403,57.341059,340.913270,68.561549,74.469606,250.476183,60.939130,419.403439,1160.140137,270.636280,512.884139,660.804370,1611.435864,240.432698,530.049307,34.983440,298.796332,74.190537,195.324457,26.133615,77.371692,216.924414,70.249980,33.663459,106.317401,332.164843,203.284968,156.365195,251.189186,60.501547,290.249183,60.967550,28.927922,40.251379,235.966646,167.702431,1600.750567,959.639195,2602.264921,544.519589,63.202909,73.653071,58.512620,318.223584,129.286145,50.090818,269.571264,0.000000,298.661108,147929.054926,37.914308,1126.119591,-0.969688,265.753801,64.831399,144.539783,1492.086750,188414.000000
H491_2,Rail transport,0.226573,3.012230,0.007351,0.000988,17.286096,26.064705,2.081436,0.158039,0.082892,1.007469,1.405199,0.043846,0.090358,0.141892,0.047540,14.195189,0.045286,2.025584,0.013866,0.008007,0.077387,0.087654,0.050873,0.010324,0.018243,0.029354,0.031568,0.018343,0.059067,0.012807,0.402838,0.147642,2.062233,0.051160,27.071487,0.028624,13.306343,11.271651,2.073734,0.170234,6.442358,0.087461,0.304374,3.022959,3.049193,0.070792,0.006528,0.030922,0.130374,0.494868,0.271033,0.072438,0.053451,2.293130,0.045822,15.328554,0.784890,2.754972,3.705107,2138.969394,0.541182,0.304438,60.882639,6.070110,0.296795,0.559058,1.179039,0.275045,0.521239,0.213539,0.751778,1.053876,8.828176,0.434405,25.242731,11.457756,15.985449,0.396247,0.416267,11.016780,1.082800,0.513687,1.403276,1.065214,1.493014,0.503737,0.488944,0.069417,2.820618,0.469583,102.264946,0.032497,0.323732,0.693085,1036.480046,188.502744,497.721753,2.229821,0.159304,14.091901,0.183292,36.569078,0.314919,2.038172,0.248638,0.000000,0.000000,10150.774127,0.230999,19.622964,-0.042620,0.000000,0.128121,0.152131,1032.098781,15544.000000
H493T495,"Land transport services and transport services via pipelines, excluding rail transport",526.449266,23.383366,0.153820,8.370511,97.635603,520.062137,40.656172,511.009332,432.648192,44.717193,134.441148,117.865701,371.140822,476.168376,149.353813,473.548532,289.596532,114.804793,32.795535,24.255513,355.147895,464.109153,168.863179,141.599685,210.329377,89.696030,98.000591,170.371220,121.631247,33.642252,121.054721,569.871143,659.675284,36.956612,178.476846,75.587335,488.176755,145.228620,203.808314,655.190498,364.267027,5.265905,212.049429,38.256879,139.065053,254.604503,1.927187,54.080954,155.182567,3.843696,2.649469,29.162923,3.932405,458.272543,17.873625,1449.427321,875.381393,9761.373368,5678.313454,221.245061,7316.801713,96.246188,57.407397,1348.461731,674.356637,59.621143,181.334960,42.301630,80.166026,124.553286,251.875618,65.164396,366.475047,24.282370,594.023632,144.398025,164.387947,39.373280,1.827387,230.961365,75.673190,19.833061,158.200672,227.522785,76.289949,57.331207,94.004029,2.319091,592.827839,165.528102,63.431184,24.446690,149.959699,415.965733,705.666008,1267.214281,2131.401759,931.171797,55.513426,13.074967,16.217381,120.120781,22.785931,46.936349,91.382752,0.000000,3.718229,9437.843133,2.430266,98.215568,-0.140002,0.000000,12.427755,14.756745,2183.261988,60244.000000
H50,Water Transport  ,0.991392,0.062049,46.032638,0.001344,0.457035,54.104279,0.131058,1.028774,0.539287,0.058810,2.204995,3.340531,0.550279,1.929269,0.410842,8.491786,0.259038,0.395223,0.206277,0.036467,0.304937,0.576139,1.300751,37.110205,0.117847,0.235109,0.197098,0.142292,0.321137,0.069793,1.159361,2.661942,2.235011,10.232936,10.515483,0.170370,25.497019,7.836668,1.585738,1.512699,22.667607,0.237643,0.865227,17.047486,0.333861,0.567358,0.029621,0.047651,3.394364,2.402768,0.441922,0.105743,0.067371,0.603348,0.040632,23.146815,1.520804,4.293751,6.759481,0.729121,0.766442,1280.051256,0.920393,2.553617,1.277828,1.501595,3.506014,0.817879,1.549967,0.956202,2.332037,1.680675,10.352236,0.486200,60.433525,12.706963,50.199994,0.527613,0.911780,4.922929,1.785603,0.668136,1.718403,1.763809,0.873442,1.144234,0.905048,0.169089,0.679189,0.771634,783.734374,0.065515,0.600368,1.159275,37.403383,5.038267,31.244895,2.537505,0.276561,0.187817,0.317101,1.361890,0.610980,0.127421,0.707551,0.000000,0.000000,6657.011959,0.589446,33.705949,0.189644,0.000000,5.124847,6.085256,9055.669775,18383.000000
